name,slug,value,date_of_information,ranking,region,,sq_km
China,china,1810000000,2023,1,East and Southeast Asia,,1416043270
India,india,1140000000,2022,2,South Asia,,1409128296
United States,united-states,386000000,2023,3,North America,,341963408
Indonesia,indonesia,352000000,2023,4,East and Southeast Asia,,281562465
Russia,russia,245000000,2022,5,Central Asia,,140820810
Nigeria,nigeria,224000000,2023,6,Africa,,236747130
Japan,japan,219000000,2023,7,East and Southeast Asia,,123201945
Brazil,brazil,213000000,2023,8,South America,,220051512
Bangladesh,bangladesh,191000000,2023,9,South Asia,,168697184
Pakistan,pakistan,189000000,2023,10,South Asia,,252363571
Iran,iran,151000000,2023,11,Middle East,,88386937
Mexico,mexico,140000000,2023,12,North America,,130739927
Philippines,philippines,135000000,2023,13,East and Southeast Asia,,118277063
Vietnam,vietnam,131000000,2023,14,East and Southeast Asia,,105758975
Thailand,thailand,121000000,2023,15,East and Southeast Asia,,69920998
South Africa,south-africa,108000000,2023,16,Africa,,
Egypt,egypt,106000000,2023,17,Africa,,111247248
Germany,germany,105000000,2023,18,Europe,,84119100
Turkey (Turkiye),turkey-turkiye,92200000,2023,19,Middle East,,84119531
Colombia,colombia,87400000,2023,20,South America,,49588357
United Kingdom,united-kingdom,84300000,2023,21,Europe,,68459055
"Korea, South",korea-south,83900000,2023,22,East and Southeast Asia,,52081799
Italy,italy,78500000,2023,23,Europe,,60964931
France,france,77400000,2023,24,Europe,,68374591
Ethiopia,ethiopia,71400000,2022,25,Africa,,118550298
Tanzania,tanzania,70200000,2023,26,Africa,,67462121
Kenya,kenya,66700000,2023,27,Africa,,58246378
Burma,burma,65500000,2023,28,East and Southeast Asia,,
Argentina,argentina,62700000,2023,29,South America,,46994384
Spain,spain,61200000,2023,30,Europe,,47280433
Morocco,morocco,55900000,2023,31,Africa,,37387585
Cote d'Ivoire,cote-divoire,53600000,2023,32,Africa,,29981758
Saudi Arabia,saudi-arabia,52500000,2023,33,Middle East,,36544431
Poland,poland,52400000,2023,34,Europe,,38746310
Algeria,algeria,51500000,2023,35,Africa,,47022473
Ukraine,ukraine,50300000,2023,36,Europe,,35661826
Malaysia,malaysia,50100000,2023,37,East and Southeast Asia,,34564810
"Congo, Democratic Republic of the",congo-democratic-republic-of-the,49800000,2022,38,Africa,,115403027
Iraq,iraq,45700000,2023,39,Middle East,,42083436
Uganda,uganda,42100000,2023,40,Africa,,49283041
Peru,peru,41300000,2023,41,South America,,32600249
Nepal,nepal,38200000,2021,42,South Asia,,31122387
Uzbekistan,uzbekistan,37500000,2023,43,Central Asia,,36520593
Canada,canada,36500000,2023,44,North America,,38794813
Sudan,sudan,34700000,2022,45,Africa,,50467278
Ghana,ghana,33400000,2023,46,Africa,,34589092
Sri Lanka,sri-lanka,30000000,2023,47,South Asia,,21982608
Taiwan,taiwan,30000000,2023,48,East and Southeast Asia,,
Australia,australia,29100000,2023,49,Australia and Oceania,,26768598
Chile,chile,26700000,2023,50,South America,,18664652
Cameroon,cameroon,26200000,2023,51,Africa,,30966105
Mali,mali,25900000,2022,52,Africa,,21990607
Kazakhstan,kazakhstan,25800000,2023,53,Central Asia,,20260006
Angola,angola,25700000,2023,54,Africa,,37202061
Madagascar,madagascar,25400000,2023,55,Africa,,29452714
Burkina Faso,burkina-faso,24700000,2021,56,Africa,,23042199
Hong Kong,hong-kong,23800000,2023,57,East and Southeast Asia,,
Romania,romania,23200000,2022,58,Europe,,18148155
Afghanistan,afghanistan,23000000,2023,59,South Asia,,40121552
Senegal,senegal,22400000,2023,60,Africa,,18847519
Netherlands,netherlands,21200000,2023,61,Europe,,17772378
United Arab Emirates,united-arab-emirates,21200000,2023,62,Middle East,,10032213
Zambia,zambia,21200000,2023,63,Africa,,20799116
Guatemala,guatemala,20600000,2023,64,Central America and the Caribbean,,18255216
Yemen,yemen,20000000,2023,65,Middle East,,32140443
Cambodia,cambodia,19500000,2022,66,East and Southeast Asia,,17063669
Venezuela,venezuela,18800000,2022,67,South America,,31250306
Ecuador,ecuador,18200000,2023,68,South America,,18309984
Tunisia,tunisia,16400000,2023,69,Africa,,12048847
Benin,benin,16400000,2023,70,Africa,,14697052
Syria,syria,15100000,2023,71,Middle East,,
Zimbabwe,zimbabwe,15000000,2023,72,Africa,,17150352
Mozambique,mozambique,15000000,2022,73,Africa,,33350954
Sweden,sweden,14800000,2023,74,Europe,,10589835
Niger,niger,14200000,2021,75,Africa,,26342784
Libya,libya,13900000,2022,76,Africa,,7361263
Guinea,guinea,13800000,2021,77,Africa,,13986179
Israel,israel,13800000,2022,78,Middle East,,9402617
Czechia,czechia,13600000,2023,79,Europe,,
Malawi,malawi,12900000,2023,80,Africa,,21763309
Rwanda,rwanda,12800000,2023,81,Africa,,13623302
Portugal,portugal,12800000,2023,82,Europe,,10207177
Belgium,belgium,12100000,2023,83,Europe,,11977634
Chad,chad,12100000,2022,84,Africa,,19093595
Bolivia,bolivia,12000000,2021,85,South America,,12311974
Belarus,belarus,11800000,2023,86,Europe,,9501451
Tajikistan,tajikistan,11600000,2021,87,Central Asia,,10394063
El Salvador,el-salvador,11500000,2022,88,Central America and the Caribbean,,6628702
Greece,greece,11300000,2023,89,Europe,,10461091
Austria,austria,11100000,2023,90,Europe,,8967982
Azerbaijan,azerbaijan,11000000,2023,91,Central Asia,,10650239
Switzerland,switzerland,10900000,2023,92,Europe,,8860574
Dominican Republic,dominican-republic,10400000,2023,93,Central America and the Caribbean,,10815857
Hungary,hungary,10200000,2023,94,Europe,,9855745
Singapore,singapore,9650000,2023,95,East and Southeast Asia,,6028459
Somalia,somalia,8840000,2022,96,Africa,,
Paraguay,paraguay,8670000,2023,97,South America,,7522549
Burundi,burundi,8650000,2023,98,Africa,,13590102
Serbia,serbia,8530000,2023,99,Europe,,6652212
Sierra Leone,sierra-leone,8230000,2021,100,Africa,,9121049
Kuwait,kuwait,8110000,2023,101,Middle East,,3138355
Bulgaria,bulgaria,8010000,2023,102,Europe,,6782659
Honduras,honduras,7920000,2023,103,Central America and the Caribbean,,9529188
